Anno,Position,id,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
2021-22,,23,Los Angeles Lakers,82,33,49,.402,48.7,112.1,41.6,88.8,46.9,12.0,34.5,34.7,16.8,23.0,73.2,9.5,34.5,44.0,24.0,14.5,7.6,5.2,4.1,20.2,20.1,-3.0
2021-22,,24,Sacramento Kings,82,30,52,.366,48.3,110.3,40.5,88.1,46.0,11.4,33.2,34.4,17.9,23.3,76.8,9.6,33.4,42.9,23.7,14.1,7.2,4.5,4.8,18.9,20.3,-5.5
2021-22,,25,Portland Trail Blazers,82,27,55,.329,48.1,106.2,38.5,87.1,44.2,12.7,36.8,34.6,16.4,21.6,76.0,10.4,32.5,42.9,22.9,14.5,8.0,4.5,5.0,21.1,19.4,-8.9
2021-22,,26,Indiana Pacers,82,25,57,.305,48.5,111.5,41.4,89.5,46.3,12.2,35.4,34.4,16.4,21.4,76.8,11.3,32.6,43.9,25.4,14.4,7.1,5.6,4.9,20.4,19.2,-3.5
2021-22,,27,Oklahoma City Thunder,82,24,58,.293,48.3,103.7,38.3,89.1,43.0,12.1,37.4,32.3,15.0,19.9,75.6,10.4,35.2,45.6,22.2,14.0,7.6,4.6,6.0,18.3,17.8,-8.1
2021-22,,28,Detroit Pistons,82,23,59,.280,48.2,104.8,38.2,88.6,43.1,11.3,34.6,32.6,17.2,22.0,78.2,11.0,32.0,43.0,23.5,14.2,7.7,4.8,5.2,21.9,19.8,-7.7
2021-22,,29,Orlando Magic,82,22,60,.268,48.2,104.2,38.3,88.3,43.4,12.2,36.9,33.1,15.5,19.7,78.7,9.1,35.2,44.3,23.7,14.5,6.8,4.5,5.2,19.7,18.3,-8.0
2021-22,,30,Houston Rockets,82,20,62,.244,48.2,109.7,39.4,86.4,45.6,13.5,38.7,34.9,17.5,24.5,71.3,9.6,32.4,42.0,23.6,16.5,7.3,4.7,5.8,20.6,22.1,-8.5
2021-22,F,1,Phoenix Suns,82,64,18,.780,22.8,47.8,18.0,36.5,49.2,5.9,16.0,36.7,6.0,7.6,78.6,5.4,17.5,22.9,6.5,6.2,4.1,2.6,1.3,10.0,7.6,3.5
2021-22,F,2,Memphis Grizzlies,82,56,26,.683,22.0,51.2,19.5,43.1,45.2,4.3,14.2,30.0,8.0,10.8,73.9,6.3,15.2,21.5,7.9,6.1,4.4,4.4,2.8,11.3,9.2,2.2
2021-22,F,3,Golden State Warriors,82,53,29,.646,29.2,55.9,21.2,43.9,48.3,5.7,16.0,35.3,7.8,11.6,67.8,7.5,24.5,32.0,15.5,9.1,5.4,3.4,2.3,13.5,10.6,3.1
2021-22,F,3,Miami Heat,82,53,29,.646,28.3,64.2,22.9,48.3,47.5,7.5,19.9,37.7,10.9,13.5,80.9,6.2,19.3,25.5,12.1,8.4,4.5,1.9,2.0,11.5,12.3,2.8
2021-22,F,5,Dallas Mavericks,82,52,30,.634,33.7,75.4,26.7,59.0,45.4,10.2,29.3,34.9,11.7,15.2,76.7,7.3,25.9,33.2,14.8,8.7,4.5,3.4,2.4,13.7,13.7,2.3
2021-22,F,6,Boston Celtics,82,51,31,.622,31.4,76.7,28.3,58.5,48.3,8.5,23.9,35.5,11.7,14.5,80.7,8.0,26.4,34.5,13.3,8.8,4.3,4.8,3.0,12.1,12.2,5.1
2021-22,F,6,Milwaukee Bucks,82,51,31,.622,24.1,67.8,24.5,51.1,47.9,6.3,17.9,35.3,12.5,16.4,76.4,6.7,23.3,30.0,12.1,6.9,3.4,2.6,2.6,10.3,13.0,1.1
2021-22,F,6,Philadelphia 76ers,82,51,31,.622,27.9,68.2,24.5,52.1,47.0,6.3,18.0,35.1,12.9,15.8,81.6,5.1,21.0,26.2,12.3,7.1,4.6,3.5,3.0,11.7,12.8,1.4
