Anno,Position,id,TEAM,WIN%,3PM,3PA,3P%,FGM,FGA,FG%,AST,BLKA,TOV
2024,F,26,Charlotte Hornets,0.25,5.8,14.5,39.7,21.3,42.5,50.0,10.0,2.3,7.5
2024,F,26,Houston Rockets,0.25,6.0,16.8,35.8,17.5,37.3,47.0,9.3,1.8,7.7
2024,F,26,Washington Wizards,0.25,6.0,18.3,32.9,26.8,52.3,51.2,9.8,2.5,6.6
2024,F,29,Miami Heat,0.2,5.2,14.8,35.1,21.2,48.8,43.4,9.6,2.8,6.6
2024,F,30,Memphis Grizzlies,0.0,5.8,18.6,31.2,18.8,45.2,41.6,8.6,3.6,8.6
2024,C,1,Boston Celtics,1.0,3.0,7.3,41.4,8.3,16.8,49.3,3.5,0.8,3.3
2024,C,1,Dallas Mavericks,1.0,0.3,0.3,100.0,4.8,5.8,82.6,2.0,0.0,1.9
2024,C,3,Denver Nuggets,0.8,1.6,4.8,33.3,13.0,22.0,59.1,7.8,2.0,3.0
2024,C,3,Golden State Warriors,0.8,1.4,3.8,36.8,2.8,7.6,36.8,2.2,0.8,1.1
2024,C,3,New Orleans Pelicans,0.8,1.6,3.6,44.4,7.0,14.4,48.6,3.2,1.4,2.5
2024,C,6,Philadelphia 76ers,0.75,1.5,4.0,37.5,10.8,21.5,50.0,7.0,1.0,1.9
2024,C,7,Atlanta Hawks,0.6,0.0,0.8,0.0,8.2,14.2,57.7,2.8,1.6,3.0
2024,C,7,LA Clippers,0.6,0.0,0.0,0.0,7.0,11.4,61.4,1.2,1.6,2.8
2024,C,7,Los Angeles Lakers,0.6,0.6,1.4,42.9,10.2,18.8,54.3,3.4,1.0,2.8
2024,C,7,Oklahoma City Thunder,0.6,2.2,4.2,52.4,5.8,9.6,60.4,2.4,0.2,2.2
2024,C,7,Orlando Magic,0.6,1.4,4.6,30.4,7.4,14.8,50.0,2.8,1.4,3.0
2024,C,7,San Antonio Spurs,0.6,2.6,9.2,28.3,14.2,27.6,51.4,7.2,1.0,5.0
2024,C,13,Brooklyn Nets,0.5,0.0,0.0,0.0,3.3,6.5,50.0,1.5,1.3,1.3
2024,C,13,Indiana Pacers,0.5,2.0,6.3,32.0,9.0,17.0,52.9,2.8,1.0,1.9
2024,C,13,Milwaukee Bucks,0.5,1.5,4.3,35.3,4.0,8.8,45.7,1.3,0.3,2.0
2024,C,13,Minnesota Timberwolves,0.5,3.3,10.0,32.5,17.0,38.0,44.7,4.8,4.0,5.2
2024,C,13,Sacramento Kings,0.5,0.5,1.5,33.3,10.0,18.0,55.6,6.5,1.3,2.6
2024,C,18,Chicago Bulls,0.4,0.6,2.6,23.1,9.4,19.0,49.5,3.0,0.2,2.6
2024,C,18,Cleveland Cavaliers,0.4,1.4,3.6,38.9,9.4,19.4,48.5,5.2,1.8,3.5
2024,C,18,New York Knicks,0.4,1.6,6.6,24.2,9.0,24.6,36.6,7.2,2.8,4.9
2024,C,18,Phoenix Suns,0.4,0.8,2.8,28.6,6.2,12.6,49.2,6.0,1.6,3.6
2024,C,18,Portland Trail Blazers,0.4,0.0,0.0,0.0,7.4,12.2,60.7,2.4,1.2,3.1
2024,C,23,Detroit Pistons,0.333,1.5,3.5,42.9,10.8,18.8,57.5,3.8,1.2,4.8
2024,C,23,Toronto Raptors,0.333,0.2,2.5,6.7,6.2,12.0,51.4,2.5,0.5,3.1
2024,C,23,Utah Jazz,0.333,6.8,15.7,43.6,21.5,40.5,53.1,7.7,2.7,8.0
2024,C,23,Washington Wizards,0.333,0.3,1.3,25.0,2.7,4.7,57.1,1.0,0.0,1.9
2024,C,27,Charlotte Hornets,0.25,0.0,0.0,0.0,5.8,8.0,71.9,1.5,0.0,3.0
2024,C,27,Houston Rockets,0.25,1.0,3.0,33.3,9.3,16.8,55.2,7.0,1.3,2.9
2024,C,29,Miami Heat,0.2,1.4,3.8,36.8,11.2,23.6,47.5,5.8,0.4,3.2
2024,C,30,Memphis Grizzlies,0.0,1.6,5.0,32.0,6.0,14.0,42.9,2.6,1.8,2.0
2024,G,1,Boston Celtics,1.0,11.5,28.5,40.4,34.0,66.5,51.1,19.3,2.8,9.7
2024,G,1,Dallas Mavericks,1.0,11.5,30.0,38.3,28.0,62.5,44.8,18.0,3.5,7.2
2024,G,3,Denver Nuggets,0.8,7.0,19.2,36.5,22.2,46.8,47.4,15.8,1.8,8.3
2024,G,3,Golden State Warriors,0.8,10.8,29.4,36.7,25.4,53.8,47.2,17.0,1.4,8.2
2024,G,3,New Orleans Pelicans,0.8,6.4,20.0,32.0,15.0,38.4,39.1,11.4,1.6,5.4
2024,G,6,Philadelphia 76ers,0.75,7.5,18.8,40.0,21.0,46.8,44.9,14.8,3.3,8.0
2024,G,7,Atlanta Hawks,0.6,9.2,26.6,34.6,29.4,64.4,45.7,22.4,2.2,9.7
2024,G,7,LA Clippers,0.6,6.2,16.0,38.8,17.6,36.0,48.9,12.8,2.2,6.7
2024,G,7,Los Angeles Lakers,0.6,3.6,16.0,22.5,14.4,36.6,39.3,14.0,1.8,6.4
2024,G,7,Oklahoma City Thunder,0.6,8.2,23.0,35.7,32.8,70.2,46.7,20.0,5.0,11.2
2024,G,7,Orlando Magic,0.6,5.0,15.0,33.3,18.4,39.6,46.5,12.6,1.6,7.2
2024,G,7,San Antonio Spurs,0.6,5.2,14.2,36.6,16.0,33.6,47.6,13.0,1.4,5.9
2024,G,13,Brooklyn Nets,0.5,8.8,21.0,41.7,29.8,58.8,50.6,20.3,2.5,9.9
2024,G,13,Indiana Pacers,0.5,10.3,30.5,33.6,31.0,66.5,46.6,26.3,4.0,7.8
2024,G,13,Milwaukee Bucks,0.5,8.3,22.0,37.5,15.3,34.5,44.2,10.3,1.5,7.3
2024,G,13,Minnesota Timberwolves,0.5,7.3,18.8,38.7,20.5,47.8,42.9,17.8,3.0,8.7
2024,G,13,Sacramento Kings,0.5,7.8,23.3,33.3,19.5,47.8,40.8,16.0,1.8,6.0
2024,G,18,Chicago Bulls,0.4,7.4,23.2,31.9,25.8,61.8,41.7,14.4,2.6,8.1
2024,G,18,Cleveland Cavaliers,0.4,9.8,28.2,34.8,26.8,61.8,43.4,16.4,2.8,7.4
2024,G,18,New York Knicks,0.4,11.0,30.6,35.9,27.4,66.4,41.3,14.6,3.8,9.9
2024,G,18,Phoenix Suns,0.4,10.4,27.2,38.2,23.6,51.4,45.9,14.8,3.8,11.1
2024,G,18,Portland Trail Blazers,0.4,6.6,21.6,30.6,21.0,50.2,41.8,14.6,3.2,8.4
2024,G,23,Detroit Pistons,0.333,10.3,26.7,38.8,26.5,64.5,41.1,23.2,5.0,12.1
2024,G,23,Toronto Raptors,0.333,5.5,14.5,37.9,12.2,31.8,38.2,12.3,2.5,6.1
2024,G,23,Utah Jazz,0.333,6.0,18.7,32.1,18.8,47.5,39.6,19.8,4.5,8.4
2024,G,26,Charlotte Hornets,0.25,3.5,16.3,21.5,15.0,39.5,38.0,15.5,2.0,5.3
2024,G,26,Houston Rockets,0.25,8.8,22.0,39.8,22.0,50.5,43.6,14.5,3.8,8.4
2024,G,26,Washington Wizards,0.25,5.5,18.3,30.1,16.8,42.0,39.9,18.0,3.8,6.5
2024,G,29,Miami Heat,0.2,7.0,18.0,38.9,16.0,38.4,41.7,12.8,3.4,6.4
2024,G,30,Memphis Grizzlies,0.0,8.0,24.2,33.1,19.4,45.6,42.5,15.2,2.2,7.4
